word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,key_resptesttrail.keys,key_resptesttrail.rt,key_resptesttrail.started,key_resptesttrail.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.010881099999096,None,space,1.158838100000139,8.010881099999096,None,,,,,,,,,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
FRIEND,old,y,0,0,0,0,,,,,,,11.171787499999482,None,9.716529499999524,None,space,1.4292079999995622,9.716529499999524,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
WRENCH,old,y,0,1,1,5,,,,,,,11.987917399999787,None,11.67137940000066,None,space,0.2902293000006466,11.67137940000066,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
VALLEY,old,y,0,2,2,3,,,,,,,12.753951500000767,None,12.487457799999902,None,space,0.250035700000808,12.487457799999902,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
LAND,old,y,0,3,3,6,,,,,,,13.45375310000054,None,13.253762000000279,None,space,0.1798916999996436,13.253762000000279,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
PHONE,old,y,0,4,4,1,,,,,,,14.119813199999044,None,13.95342680000067,None,space,0.14395719999993162,13.95342680000067,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
HAMMER,old,y,0,5,5,8,,,,,,,14.919584600000235,None,14.61974569999984,None,space,0.27774740000131715,14.61974569999984,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
GLASS,old,y,0,6,6,4,,,,,,,16.15221930000007,None,15.419304200000624,None,space,0.7022264999995969,15.419304200000624,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
MOUNTAIN,old,y,0,7,7,2,,,,,,,17.101583399999072,None,16.65176149999934,None,space,0.42957170000045153,16.65176149999934,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
GLOBE,old,y,0,8,8,7,,,,,,,17.984530600000653,None,17.601425999999265,None,space,0.3600342999998247,17.601425999999265,None,,,00,001,2020_Aug_08_0100,untitled,2020.1.3,59.9986920288131,
,,,,,,,,,,,,,,,,,,,,,18.484293999999863,None,,,,,,,
