word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,13.08248149999963,None,space,0.6533597999987251,13.08248149999963,None,,,,,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
HAMMER,old,y,0,0,0,8,,,,,,,16.26958039999954,None,14.283445199998823,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
PHONE,old,y,0,1,1,1,,,,,,,18.768435199999658,None,16.76944529999855,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
GLASS,old,y,0,2,2,4,,,,,,,21.267005699999572,None,19.267969900000026,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
LAND,old,y,0,3,3,6,,,,,,,23.76542359999985,None,21.766773399998783,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
FRIEND,old,y,0,4,4,0,,,,,,,26.264068899999984,None,24.265161699999226,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
WRENCH,old,y,0,5,5,5,,,,,,,28.76280719999886,None,26.76390369999899,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
VALLEY,old,y,0,6,6,3,,,,,,,31.261360099999365,None,29.26238959999864,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
GLOBE,old,y,0,7,7,7,,,,,,,33.759985299999244,None,31.76108380000005,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
MOUNTAIN,old,y,0,8,8,2,,,,,,,36.25843379999969,None,34.259742799999,None,00,001,2020_Aug_08_0103,untitled,2020.1.3,60.03287400161928,
