word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.274215900000854,None,space,0.9884724999992613,8.274215900000854,None,,,,,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
PHONE,old,y,0,0,0,1,,,,,,,11.800223600001118,None,9.807234199999584,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
VALLEY,old,y,0,1,1,3,,,,,,,14.29879609999989,None,12.29985300000044,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
WRENCH,old,y,0,2,2,5,,,,,,,16.797423899999558,None,14.798542599999564,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
MOUNTAIN,old,y,0,3,3,2,,,,,,,19.295897800000603,None,17.29699249999976,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
LAND,old,y,0,4,4,6,,,,,,,21.794717200000377,None,19.795528300001024,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
HAMMER,old,y,0,5,5,8,,,,,,,24.292981399999917,None,22.294233599999643,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
GLOBE,old,y,0,6,6,7,,,,,,,26.791993200000434,None,24.7927348000012,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
GLASS,old,y,0,7,7,4,,,,,,,29.290362900001128,None,27.291384800000742,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
FRIEND,old,y,0,8,8,0,,,,,,,31.805712499999572,None,29.790056800000457,None,,,,,,,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
,,,,,,,,,,,,,,,,,32.305453599999964,None,space,1.3572578000002977,32.305453599999964,None,,,00,001,2020_Aug_08_0104,untitled,2020.1.3,60.02141564083914,
,,,,,,,,,,,,,33.68792039999971,None,,,,,,,,,34.187720400001126,None,,,,,,,
