word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon_2.started,polygon_2.stopped,textresp.started,textresp.stopped,textQuestion.started,textQuestion.stopped,key_response.keys,key_response.corr,key_response.rt,key_response.started,key_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.866133599998648,None,space,0.8851116999994701,7.866133599998648,None,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
MOUNTAIN,old,y,0,0,0,2,,,,,,,,,,,10.290224799999123,None,9.299604899999395,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
PHONE,old,y,0,1,1,1,,,,,,,,,,,11.789284599999519,None,10.789702499998384,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
FRIEND,old,y,0,2,2,0,,,,,,,,,,,13.28837509999903,None,12.289046699999744,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
,,,,,,,,,,,,,,,,,,,,,13.788327399999616,None,space,0.674509800001033,13.788327399999616,None,,,,,,,,,,,,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
NEURO,new,n,,,,,0,0,0,10,,,,,,,25.165130899998985,None,,,,,,,,,14.996940899998663,None,14.996940899998663,None,14.996940899998663,None,y,0,10.154123800000889,14.996940899998663,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,1,1,31,,,,,,,26.614235399998506,None,,,,,,,,,25.66650049999953,None,25.66650049999953,None,25.66650049999953,None,y,0,0.9330702999995992,25.66650049999953,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
HIPPOCAMPUS,new,n,,,,,0,2,2,12,,,,,,,29.196124399999462,None,,,,,,,,,27.117410299999392,None,27.117410299999392,None,27.117410299999392,None,n,1,2.0657021999995777,27.117410299999392,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,3,3,30,,,,,,,30.478788899999927,None,,,,,,,,,29.697587899998325,None,29.697587899998325,None,29.697587899998325,None,n,0,0.7657687999999325,29.697587899998325,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
MOUNTAIN,old,y,,,,,0,4,4,2,,,,,,,33.26054859999931,None,,,,,,,,,30.980313499998374,None,30.980313499998374,None,30.980313499998374,None,n,0,2.2508232000000135,30.980313499998374,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,5,5,29,,,,,,,34.526607999998305,None,,,,,,,,,33.76202369999919,None,33.76202369999919,None,33.76202369999919,None,n,0,0.7491305999992619,33.76202369999919,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,6,6,25,,,,,,,35.60920889999943,None,,,,,,,,,35.02794339999855,None,35.02794339999855,None,35.02794339999855,None,n,0,0.5553151000003709,35.02794339999855,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,7,7,32,,,,,,,36.542056299998876,None,,,,,,,,,36.11057279999841,None,36.11057279999841,None,36.11057279999841,None,n,0,0.4086784000010084,36.11057279999841,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,8,8,28,,,,,,,37.47472939999898,None,,,,,,,,,37.04350509999858,None,37.04350509999858,None,37.04350509999858,None,n,0,0.4116399000013189,37.04350509999858,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
None,None,None,,,,,0,9,9,27,,,,,,,38.27448869999898,None,,,,,,,,,37.9763583999993,None,37.9763583999993,None,37.9763583999993,None,n,0,0.278658400000495,37.9763583999993,None,00,001,2020_Aug_08_0112,untitled,2020.1.3,60.076549539198155,
