word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon_2.started,polygon_2.stopped,textresp.started,textresp.stopped,textQuestion.started,textQuestion.stopped,key_response.keys,key_response.corr,key_response.rt,key_response.started,key_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.582280900000114,None,space,0.40291370000159077,7.582280900000114,None,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
MOUNTAIN,old,y,0,0,0,2,,,,,,,,,,,8.623524100001305,None,8.623524100001305,None,8.531775400000697,None,8.531775400000697,None,,,,,,,,,,,,,,,,,,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
PHONE,old,y,0,1,1,1,,,,,,,,,,,9.223249500000748,None,9.223249500000748,None,9.12338980000095,None,9.12338980000095,None,,,,,,,,,,,,,,,,,,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
FRIEND,old,y,0,2,2,0,,,,,,,,,,,9.82307320000109,None,9.82307320000109,None,9.7230739000006,None,9.7230739000006,None,,,,,,,,,,,,,,,,,,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
,,,,,,,,,,,,,,,,,,,,,,,,,10.321121400000266,None,space,0.6560706999989634,10.321121400000266,None,,,,,,,,,,,,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
STRIATUM,new,n,,,,,0,0,0,13,,,,,,,15.236674300000232,None,15.236674300000232,None,,,,,,,,,,,11.514819800000623,None,11.514819800000623,None,11.514819800000623,None,y,0,3.694252699999197,11.514819800000623,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
NEURO,new,n,,,,,0,1,1,10,,,,,,,16.252737300001172,None,16.252737300001172,None,,,,,,,,,,,15.73632600000019,None,15.73632600000019,None,15.73632600000019,None,y,0,0.48868969999966794,15.73632600000019,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
GLOBE,old,y,,,,,0,2,2,7,,,,,,,17.235260900000867,None,17.235260900000867,None,,,,,,,,,,,16.752374400000917,None,16.752374400000917,None,16.752374400000917,None,y,1,0.46513010000126087,16.752374400000917,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
SCHIZOPHRENIA,new,n,,,,,0,3,3,11,,,,,,,18.201452400000562,None,18.201452400000562,None,,,,,,,,,,,17.735595100000864,None,17.735595100000864,None,17.735595100000864,None,y,0,0.4504337999987911,17.735595100000864,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
None,None,None,,,,,0,4,4,20,,,,,,,19.167831900000238,None,19.167831900000238,None,,,,,,,,,,,18.70146620000014,None,18.70146620000014,None,18.70146620000014,None,y,0,0.4357663999999204,18.70146620000014,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
INSULA,new,n,,,,,0,5,5,15,,,,,,,20.167193000001134,None,20.167193000001134,None,,,,,,,,,,,19.667677999999796,None,19.667677999999796,None,19.667677999999796,None,y,0,0.46918709999954444,19.667677999999796,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
None,None,None,,,,,0,6,6,28,,,,,,,21.099927299999763,None,21.099927299999763,None,,,,,,,,,,,20.666919400000552,None,20.666919400000552,None,20.666919400000552,None,y,0,0.40610990000095626,20.666919400000552,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
[,None,None,,,,,0,7,7,36,,,,,,,22.032803500000227,None,22.032803500000227,None,,,,,,,,,,,21.59980160000123,None,21.59980160000123,None,21.59980160000123,None,y,0,0.4173675000001822,21.59980160000123,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
FORNIX,new,n,,,,,0,8,8,16,,,,,,,24.065066400000433,None,24.065066400000433,None,,,,,,,,,,,22.53247940000074,None,22.53247940000074,None,22.53247940000074,None,y,0,1.508591100000558,22.53247940000074,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
PUTAMEN,new,n,,,,,0,9,9,19,,,,,,,24.981009700000868,None,24.981009700000868,None,,,,,,,,,,,24.564628500000254,None,24.564628500000254,None,24.564628500000254,None,y,0,0.3964289000014105,24.564628500000254,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
THALAMUS,new,n,,,,,0,10,10,17,,,,,,,25.91410900000119,None,25.91410900000119,None,,,,,,,,,,,25.480935900000986,None,25.480935900000986,None,25.480935900000986,None,y,0,0.41670019999946817,25.480935900000986,None,03,001,2020_Aug_08_0118,untitled,2020.1.3,60.047509590030195,
