word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.0410666999996465,None,space,1.7739278000008198,7.0410666999996465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
FRIEND,old,0,0,0,0,,,,,,,,,,,9.463206000000355,None,9.463206000000355,None,9.36969390000013,None,9.36969390000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
PHONE,old,0,1,1,1,,,,,,,,,,,10.062904800000979,None,10.062904800000979,None,9.962772400001995,None,9.962772400001995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
VALLEY,old,0,2,2,2,,,,,,,,,,,10.662807600001543,None,10.662807600001543,None,10.56280390000029,None,10.56280390000029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
,,,,,,,,,,,,,,,,,,,,,,,,11.160734500001126,None,space,0.3264067000018258,11.160734500001126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
PHONE,old,,,,,0,0,0,1,,,,,,,14.660395400002017,None,14.660395400002017,None,,,,,,,,,,,12.015570999999909,None,12.015570999999909,None,3,1.095990999998321,12.015570999999909,None,12.015570999999909,None,13.127806000000419,None,13.127806000000419,None,13.627837100000761,None,13.627837100000761,None,r,1.003427699997701,13.627837100000761,None,13.627837100000761,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
AUGUST,new,,,,,0,1,1,9,,,,,,,17.142407100000128,None,17.142407100000128,None,,,,,,,,,,,15.16268879999916,None,15.16268879999916,None,1,0.5882087999998475,15.16268879999916,None,15.16268879999916,None,15.776335599999584,None,15.776335599999584,None,16.276420599999256,None,16.276420599999256,None,f,0.834637500000099,16.276420599999256,None,16.276420599999256,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
LAND,old,,,,,0,2,2,4,,,,,,,19.29118219999873,None,19.29118219999873,None,,,,,,,,,,,17.642177500001708,None,17.642177500001708,None,3,0.5808314999994764,17.642177500001708,None,17.642177500001708,None,18.24165709999943,None,18.24165709999943,None,18.741490799999156,None,18.741490799999156,None,f,0.5295699000016612,18.741490799999156,None,18.741490799999156,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
STREET,new,,,,,0,3,3,8,,,,,,,21.456543799999054,None,21.456543799999054,None,,,,,,,,,,,19.791053299999476,None,19.791053299999476,None,2,0.6641023999982281,19.791053299999476,None,19.791053299999476,None,20.473762500001612,None,20.473762500001612,None,20.973649399998976,None,20.973649399998976,None,f,0.45721509999930277,20.973649399998976,None,20.973649399998976,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
VALLEY,old,,,,,0,4,4,2,,,,,,,24.071990399999777,None,24.071990399999777,None,,,,,,,,,,,21.956385900000896,None,21.956385900000896,None,3,0.8586195999996562,21.956385900000896,None,21.956385900000896,None,22.839120399999956,None,22.839120399999956,None,23.338996900001803,None,23.338996900001803,None,f,0.7166902000026312,23.338996900001803,None,23.338996900001803,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
GLASS,old,,,,,0,5,5,3,,,,,,,26.786921200000506,None,26.786921200000506,None,,,,,,,,,,,24.571624000000156,None,24.571624000000156,None,1,1.2673396000027424,24.571624000000156,None,24.571624000000156,None,25.85415490000014,None,25.85415490000014,None,26.354148800000985,None,26.354148800000985,None,f,0.412895400000707,26.354148800000985,None,26.354148800000985,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
WIRE,new,,,,,0,6,6,7,,,,,,,28.635756700001366,None,28.635756700001366,None,,,,,,,,,,,27.28669749999972,None,27.28669749999972,None,2,0.5362755999994988,27.28669749999972,None,27.28669749999972,None,27.853049000001192,None,27.853049000001192,None,28.352612700000464,None,28.352612700000464,None,f,0.26241809999919496,28.352612700000464,None,28.352612700000464,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
GLOBE,old,,,,,0,7,7,5,,,,,,,30.318295699999,None,30.318295699999,None,,,,,,,,,,,29.135556699999142,None,29.135556699999142,None,1,0.41554959999848506,29.135556699999142,None,29.135556699999142,None,29.568633499999123,None,29.568633499999123,None,30.068578000002162,None,30.068578000002162,None,f,0.234576200000447,30.068578000002162,None,30.068578000002162,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
FRIEND,old,,,,,0,8,8,0,,,,,,,32.18384090000109,None,32.18384090000109,None,,,,,,,,,,,30.8181141999994,None,30.8181141999994,None,2,0.31717700000081095,30.8181141999994,None,30.8181141999994,None,31.151129500001844,None,31.151129500001844,None,31.65093980000165,None,31.65093980000165,None,f,0.5170381999996607,31.65093980000165,None,31.65093980000165,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
PET,new,,,,,0,9,9,6,,,,,,,34.51601450000089,None,34.51601450000089,None,,,,,,,,,,,32.68390649999856,None,32.68390649999856,None,6,0.9708824000008462,32.68390649999856,None,32.68390649999856,None,33.68293030000132,None,33.68293030000132,None,34.18282620000173,None,34.18282620000173,None,f,0.3041090999977314,34.18282620000173,None,34.18282620000173,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
TODAY,new,,,,,0,10,10,10,,,,,,,36.73123130000022,None,36.73123130000022,None,,,,,,,,,,,35.01573429999917,None,35.01573429999917,None,6,0.9110931000031997,35.01573429999917,None,35.01573429999917,None,35.94842530000096,None,35.94842530000096,None,36.44814899999983,None,36.44814899999983,None,f,0.26258339999913005,36.44814899999983,None,36.44814899999983,None,,,10,001,2020_Aug_08_0144,untitled,2020.1.3,60.009169401918335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.22957170000154,None,,,,,,,
