rand,word,corr,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,9.1382608,None,space,3.0139877,9.1382608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.605378755,gyse ,0,old,0,0,0,4,,,,,,,,,,,14.1989425,None,14.1989425,None,12.7093577,None,12.7093577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.512700351,outen,1,old,0,1,1,5,,,,,,,,,,,16.1976038,None,16.1976038,None,14.6988266,None,14.6988266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.794921973,myght ,0,old,0,2,2,1,,,,,,,,,,,18.1964518,None,18.1964518,None,16.6974125,None,16.6974125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.671516136,thombe,0,old,0,3,3,0,,,,,,,,,,,20.1953541,None,20.1953541,None,18.6962558,None,18.6962558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.643085968,tapycer,1,old,0,4,4,3,,,,,,,,,,,22.194621,None,22.194621,None,20.6950638,None,20.6950638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.230824174,wrye,0,old,0,5,5,2,,,,,,,,,,,24.1930691,None,24.1930691,None,22.6940762,None,22.6940762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
,,,,,,,,,,,,,,,,,,,,,,,,,,24.6929648,None,space,20.5716274,24.6929648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.794921973,myght ,0,old,,,,,0,0,0,1,,,,,,,54.0270606,None,54.0270606,None,,,,,,,,,,,45.7871563,None,45.7871563,None,6,7.2206324,45.7871563,None,45.7871563,None,45.7871563,None,53.0279147,None,53.0279147,None,53.5433351,None,53.5433351,None,f,0.4567112,53.5433351,None,53.5433351,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.605378755,gyse ,0,old,,,,,0,1,1,4,,,,,,,61.3058323,None,61.3058323,None,,,,,,,,,,,54.5266249,None,54.5266249,None,5,5.105494,54.5266249,None,54.5266249,None,54.5266249,None,59.6568469,None,59.6568469,None,60.1568764,None,60.1568764,None,n,1.1308949,60.1568764,None,60.1568764,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.386181439,myre,1,new,,,,,0,2,2,10,,,,,,,69.7680495,None,69.7680495,None,,,,,,,,,,,61.8053222,None,61.8053222,None,1,6.9226794,61.8053222,None,61.8053222,None,61.8053222,None,68.7522023,None,68.7522023,None,69.2521755,None,69.2521755,None,n,0.4838168,69.2521755,None,69.2521755,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.20671794,bulles ,1,new,,,,,0,3,3,11,,,,,,,84.3929086,None,84.3929086,None,,,,,,,,,,,70.2683982,None,70.2683982,None,5,12.6275683,70.2683982,None,70.2683982,None,70.2683982,None,82.9271387,None,82.9271387,None,83.4266117,None,83.4266117,None,n,0.949781,83.4266117,None,83.4266117,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.230824174,wrye,0,old,,,,,0,4,4,2,,,,,,,96.5195712,None,96.5195712,None,,,,,,,,,,,84.8925001,None,84.8925001,None,5,10.3713802,84.8925001,None,84.8925001,None,84.8925001,None,95.2868151,None,95.2868151,None,95.78628,None,95.78628,None,n,0.701642,95.78628,None,95.78628,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.260905023,rakel,1,new,,,,,0,5,5,6,,,,,,,100.0683187,None,100.0683187,None,,,,,,,,,,,97.0189067,None,97.0189067,None,1,2.3245921,97.0189067,None,97.0189067,None,97.0189067,None,99.3688246,None,99.3688246,None,99.8847246,None,99.8847246,None,n,0.1629441,99.8847246,None,99.8847246,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
0.432149945,nyce,1,new,,,,,0,6,6,8,,,,,,,102.9663541,None,102.9663541,None,,,,,,,,,,,100.5676138,None,100.5676138,None,3,1.7276444,100.5676138,None,100.5676138,None,100.5676138,None,102.3161695,None,102.3161695,None,102.8160656,None,102.8160656,None,n,0.127839,102.8160656,None,102.8160656,None,,,80,1,2020_Aug_11_2237,untitled,2020.1.3,60.02754062
