word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.68660049999744,None,space,0.4457790999986173,8.68660049999744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
PHONE,old,0,0,0,1,,,,,,,,,,,9.76672889999827,None,9.76672889999827,None,9.67096759999913,None,9.67096759999913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
VALLEY,old,0,1,1,2,,,,,,,,,,,10.366882899998018,None,10.366882899998018,None,10.266800199999125,None,10.266800199999125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
FRIEND,old,0,2,2,0,,,,,,,,,,,10.966117199997825,None,10.966117199997825,None,10.866101799998432,None,10.866101799998432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
,,,,,,,,,,,,,,,,,,,,,,,,11.464305699999386,None,space,0.39592780000020866,11.464305699999386,None,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
PET,new,,,,,0,0,0,6,,,,,,,14.714083799997752,None,14.714083799997752,None,,,,,,,,,,,12.38483239999914,None,12.38483239999914,None,3,1.011341800000082,12.38483239999914,None,12.38483239999914,None,13.414996799998335,None,13.414996799998335,None,f,1.2772904999983439,13.414996799998335,None,13.414996799998335,None,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
TODAY,new,,,,,0,1,1,10,,,,,,,16.429648799999995,None,16.429648799999995,None,,,,,,,,,,,15.213960199998837,None,15.213960199998837,None,3,0.742136599998048,15.213960199998837,None,15.213960199998837,None,15.979962299999897,None,15.979962299999897,None,f,0.43272679999790853,15.979962299999897,None,15.979962299999897,None,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
GLASS,old,,,,,0,2,2,3,,,,,,,17.96244630000001,None,17.96244630000001,None,,,,,,,,,,,16.934184499998082,None,16.934184499998082,None,3,0.7342375999978685,16.934184499998082,None,16.934184499998082,None,17.695714800000133,None,17.695714800000133,None,f,0.24466970000139554,17.695714800000133,None,17.695714800000133,None,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
PHONE,old,,,,,0,3,3,1,,,,,,,20.71094109999831,None,20.71094109999831,None,,,,,,,,,,,18.462071800000558,None,18.462071800000558,None,5,1.3022524000007252,18.462071800000558,None,18.462071800000558,None,19.7945570999982,None,19.7945570999982,None,f,0.8897695999985444,19.7945570999982,None,19.7945570999982,None,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
FRIEND,old,,,,,0,4,4,0,,,,,,,22.243146599998,None,22.243146599998,None,,,,,,,,,,,21.210669100000814,None,21.210669100000814,None,3,0.7694644000002882,21.210669100000814,None,21.210669100000814,None,22.01023229999919,None,22.01023229999919,None,f,0.2020334000008006,22.01023229999919,None,22.01023229999919,None,,,,001,2020_Aug_08_0139,untitled,2020.1.3,60.035793340400154,
